step,EvalAverageReward
1000,-21.0340048308879
2000,-18.6075683207676
3000,-16.206233125098
4000,-22.8218388014734
5000,-16.8718936969266
6000,-20.5863143613022
7000,-19.7488858146014
8000,-18.9513931084319
9000,-20.6996891437121
10000,-21.7970211361805
11000,-18.280712354492
12000,-25.9874535081301
13000,-19.6850287500636
14000,-13.3215870175573
15000,-18.0410473442887
16000,-19.6937500981849
17000,-21.4063325043197
18000,-13.4446445614873
19000,-18.6610491670387
20000,-14.0344961380357
21000,-17.7546405560009
22000,-20.2196832922667
23000,-25.1086033115579
24000,-17.0579899314155
25000,-18.43616813303
26000,-18.4367122950297
27000,-23.7169658998178
28000,-21.2141602827379
29000,-18.3044020354361
30000,-15.492173192907
31000,-18.1983944608735
32000,-15.7718365857288
33000,-17.7349254300132
34000,-20.2812901286261
35000,-18.0966788357596
36000,-19.4324897254853
37000,-20.0485942519283
38000,-20.4751280294596
39000,-18.697508360368
40000,-18.669504989287
41000,-17.5134001614133
42000,-21.4920621902232
43000,-18.4184541497851
44000,-19.5047739408658
45000,-15.8037074669053
46000,-18.701234135336
47000,-20.8719167658153
48000,-17.1520809076401
49000,-20.2912999313896
50000,-23.0087187439002
51000,-16.7357623430645
52000,-16.6623408796365
53000,-18.0736104489206
54000,-16.1268589780175
55000,-15.7175140718572
56000,-20.3239740468639
57000,-16.6466691666922
58000,-19.8875087951609
59000,-20.543967367394
60000,-19.8807841325104
61000,-20.5535861223283
62000,-19.4855316402237
63000,-18.3313373018754
64000,-20.2225206280282
65000,-17.1718093255051
66000,-18.5607910303279
67000,-15.9463511652249
68000,-19.0124140886341
69000,-22.8987402124346
70000,-21.5722287900478
71000,-19.7174361909396
72000,-18.1537249100606
73000,-19.5583173564082
74000,-18.0953413830543
75000,-17.2888556485605
76000,-21.9385234693439
77000,-18.9243411885948
78000,-17.7661788510413
79000,-18.1570978098386
80000,-14.9458993037135
81000,-17.2683802950158
82000,-18.5360244730204
83000,-21.6583015570119
84000,-20.4381964590438
85000,-17.519019854056
86000,-16.6690499173286
87000,-16.4636823002793
88000,-17.5693857289021
89000,-19.159622171652
90000,-16.8029987114625
91000,-19.626751293927
92000,-19.7700028346902
93000,-18.0712288923103
94000,-18.6353661826624
95000,-17.5831317181477
96000,-15.9694502907921
97000,-20.0631477050064
98000,-18.1935113239641
99000,-19.3607542753185
100000,-16.9989907432473
101000,-12.7319602031987
102000,-12.6123722471288
103000,-18.5128718597538
104000,-21.1510792465333
105000,-18.7640864338975
106000,-17.9455663433812
107000,-22.7113663795878
108000,-15.0163424462062
109000,-14.3202643997816
110000,-18.8112484242766
111000,-20.2753049993894
112000,-17.1589888971116
113000,-23.8760495859611
114000,-18.8272133356532
115000,-21.3291471284195
116000,-20.9416827915766
117000,-19.9113814147536
118000,-19.0790407028771
119000,-18.3372659068697
120000,-20.4680321440795
121000,-23.4725704323852
122000,-18.8043612519263
123000,-19.1706411860457
124000,-18.5073857824757
125000,-19.326252775286
126000,-21.4742966941289
127000,-19.6603426819971
128000,-16.9175792103341
129000,-21.1195565312208
130000,-17.7255767648075
131000,-19.6700347886922
132000,-19.0000812113902
133000,-19.6834504315616
134000,-20.3187145181523
135000,-20.8355257761804
136000,-16.6669396591716
137000,-16.3241597392769
138000,-19.751892675128
139000,-16.6768756174868
140000,-20.5341043675608
141000,-18.6397553994239
142000,-17.3436838809001
143000,-17.0344101037493
144000,-17.4345718181609
145000,-16.3796015122601
146000,-20.4966902012059
147000,-18.9438360272276
148000,-20.907923098385
149000,-19.3085677231242
150000,-19.0649380078224
151000,-22.3549351213097
152000,-20.6095023474858
153000,-20.5583911494882
154000,-19.2539273576316
155000,-18.3662882839525
156000,-20.3064747184913
157000,-18.9847908675409
158000,-21.1213502379921
159000,-19.8412610078016
160000,-11.8211516045603
161000,-22.6929899617886
162000,-17.591920129286
163000,-16.999823972332
164000,-14.681124438293
165000,-19.6254382617733
166000,-16.9905974215009
167000,-19.6710936476726
168000,-19.0899833305011
169000,-17.7457167573098
170000,-18.4100050698897
171000,-19.237968383096
172000,-18.2458785421451
173000,-20.8951717660569
174000,-14.2683661643797
175000,-16.3984689676239
176000,-18.9749700312615
177000,-18.7770010312789
178000,-13.8151401058287
179000,-17.9161667051891
180000,-19.1487950903417
181000,-17.9693488741307
182000,-14.4944795024735
183000,-19.7890593947083
184000,-16.689760092971
185000,-16.76905877037
186000,-18.9284091646845
187000,-18.5880718532995
188000,-19.1173777080584
189000,-18.2836406294279
190000,-22.6353087658555
191000,-16.6165889169899
192000,-21.1940872942346
193000,-18.1470401109599
194000,-19.3295061234025
195000,-16.6699561918501
196000,-20.6081816637126
197000,-16.9662392652298
198000,-17.9488313013971
199000,-19.6327787206757
200000,-19.4517860987175
201000,-16.0315390542572
202000,-21.2129074473325
203000,-20.0782306989001
204000,-21.519872432946
205000,-21.2535524253045
206000,-19.926683552388
207000,-16.8381537439106
208000,-16.8835006621377
209000,-16.7064246521646
210000,-15.8516534830825
211000,-15.8507162236048
212000,-15.9665315326872
213000,-16.1153477924133
214000,-16.094376171112
215000,-16.0936073405443
216000,-16.3716127265297
217000,-16.15045860399
218000,-15.568480426228
219000,-13.5917598936835
220000,-10.6741438718544
221000,-8.31261828635886
222000,-5.76184230577466
223000,-5.65999082852745
224000,-8.32059255573419
225000,-9.28520764649888
226000,-9.86398909362822
227000,-5.36324717449747
228000,-5.43114732351979
229000,-5.65109455177635
230000,-5.72759615868119
231000,-6.11622678829777
232000,-6.43960181401978
233000,-5.92223854330201
234000,-5.73874301447127
235000,-6.23864236945956
236000,-6.3451776721896
237000,-6.0709778562052
238000,-6.05495881414337
239000,-6.20388334021649
240000,-6.62442006710543
241000,-6.3985690577902
242000,-6.26334588600123
243000,-6.22058712648524
244000,-5.88686268810597
245000,-5.8510669175397
246000,-5.59693917754144
247000,-5.39580783354565
248000,-5.43095428245786
249000,-5.36524563458019
250000,-4.93962980430333
251000,-5.0772687318566
252000,-4.85717599298045
253000,-4.92039115881001
254000,-4.70988101200959
255000,-4.88285800214326
256000,-4.70461707622126
257000,-4.62686429623701
258000,-4.8977736977422
259000,-4.75335369417094
260000,-4.8551078017488
261000,-4.93367948231225
262000,-4.98178158695239
263000,-4.79767798118012
264000,-5.00509238938812
265000,-4.97155059212188
266000,-4.92718651920369
267000,-4.9506183159377
268000,-4.87816525184706
269000,-4.91792134110261
270000,-4.83183252648686
271000,-4.72843145884267
272000,-4.65428721002478
273000,-4.73167014522811
274000,-4.56670571461984
275000,-4.65204381348099
276000,-4.66841807266113
277000,-4.59152554395076
278000,-4.66847203863932
279000,-4.6542904047244
280000,-4.58436992595533
281000,-4.56332263996053
282000,-4.51918487138432
283000,-4.51634570631061
284000,-4.51768127464093
285000,-4.46765392853778
286000,-4.3500397932343
287000,-4.22657276273805
288000,-4.29457415034572
289000,-4.29548867056976
290000,-4.27054079896128
291000,-4.2618626904585
292000,-4.24924300507927
293000,-4.35985153769778
294000,-4.21772183951374
295000,-4.30886813540775
296000,-4.31698774441084
297000,-4.28937948363648
298000,-4.29705911612711
299000,-4.20177887974836
300000,-4.19414658990424
301000,-4.26159870669349
302000,-4.30148526307285
303000,-4.17515507512288
304000,-4.19218466162371
305000,-4.25363921759776
306000,-4.12049170560729
307000,-4.19526762403635
308000,-4.16064473343644
309000,-4.08659953111226
310000,-4.16969420276039
311000,-4.06155679738667
312000,-4.04179746255725
313000,-4.02170461686253
314000,-4.01211946998188
315000,-4.02319481205822
316000,-4.01819758694122
317000,-3.93490579622533
318000,-4.04795794251827
319000,-4.02124928166197
320000,-3.94040435743234
321000,-3.99352917116888
322000,-3.84292653816076
323000,-3.91938081228118
324000,-3.82347235991366
325000,-3.8433678769197
326000,-3.81493354183961
327000,-3.79305146648315
328000,-3.85529524307093
329000,-3.95226928174605
330000,-3.89220537018191
331000,-3.84088541651368
332000,-3.73989840046033
333000,-3.76847896068162
334000,-3.78266864859817
335000,-3.67579024308442
336000,-3.78891126616887
337000,-3.8070809613596
338000,-3.78109649915438
339000,-3.78609321827836
340000,-3.73384350278239
341000,-3.75202007165875
342000,-3.73169074064357
343000,-3.75622420349158
344000,-3.70008073704008
345000,-3.75973246012355
346000,-3.72361455106798
347000,-3.72085395382757
348000,-3.83631260286438
349000,-3.75637787558453
350000,-3.80620122392094
351000,-3.86765477954876
352000,-3.89552827971735
353000,-3.7700640074915
354000,-3.87945883194742
355000,-3.78264590802199
356000,-3.76585988231421
357000,-3.83573260610725
358000,-3.90595781215721
359000,-3.87651396577329
360000,-4.00191511822355
361000,-3.86045984278332
362000,-3.93638021382577
363000,-4.05927745362898
364000,-4.07271787380019
365000,-4.05593249143259
366000,-4.07156895363421
367000,-4.12522902522956
368000,-4.0666492875223
369000,-4.12065135680203
370000,-4.18494653418058
371000,-4.18325552030717
372000,-4.12102563420516
373000,-4.24888233177555
374000,-4.16396287269243
375000,-4.22106365707056
376000,-4.27356310142463
377000,-4.24891586571627
378000,-4.28979931295435
379000,-4.33686464607963
380000,-4.27301063405867
381000,-4.18828471807858
382000,-4.22493693227277
383000,-4.17765631780403
384000,-4.21594711667976
385000,-4.16524392676703
386000,-4.13405500473033
387000,-4.0515405284034
388000,-4.04227392506732
389000,-4.06075342073488
390000,-4.01913459400326
391000,-3.95349404152792
392000,-3.90953217799033
393000,-3.85656421522514
394000,-3.98737292837524
395000,-3.93021597050492
396000,-3.76167856913166
397000,-3.90908480682532
398000,-3.87291632338407
399000,-3.82169662330919
400000,-3.82951636638135
401000,-3.84107436297811
402000,-4.01730107515712
403000,-3.87734688675302
404000,-3.87718828562502
405000,-3.86339009615868
406000,-3.80868247886016
407000,-3.80210770540736
408000,-3.74033042967781
409000,-3.81223013319675
410000,-3.80327898293445
411000,-3.84677528568598
412000,-3.8884528560415
413000,-3.70091679289486
414000,-3.79138335386584
415000,-3.79561277851618
416000,-3.7430830259951
417000,-3.71751803748593
418000,-3.65710494258103
419000,-3.70722858436838
420000,-3.70523266343892
421000,-3.84776057439406
422000,-3.73817790102867
423000,-3.73068361729258
424000,-3.72720488851577
425000,-3.7273350891278
426000,-3.75069334234394
427000,-3.79725143551443
428000,-3.83032719457869
429000,-3.84256212735576
430000,-3.816585813383
431000,-3.90339251834502
432000,-3.84071544681994
433000,-3.9332105687042
434000,-3.86814989389585
435000,-3.90588957888313
436000,-3.90423226395503
437000,-3.91530982225425
438000,-3.86749955024958
439000,-3.89037617118087
440000,-3.87210578986428
441000,-3.92086498894433
442000,-3.90054136847573
443000,-3.80850882322831
444000,-3.79780061945954
445000,-3.82180839787146
446000,-3.84144640206164
447000,-3.84540523465017
448000,-3.85693016922486
449000,-3.96517495839577
450000,-3.85705932778204
451000,-3.89740735362405
452000,-3.86326223268746
453000,-3.89874070136288
454000,-3.9463922728007
455000,-3.844115177679
456000,-3.9273421437794
457000,-3.89570619686661
458000,-3.80513421749721
459000,-3.86855717590309
460000,-3.81142484870707
461000,-3.73901259438947
462000,-3.74546780627305
463000,-3.68877707603848
464000,-3.7937934731303
465000,-3.74708268816805
466000,-3.69766834146694
467000,-3.75685489699102
468000,-3.77933712613997
469000,-3.69127554704049
470000,-3.8017630229877
471000,-3.73758271182045
472000,-3.85793521037412
473000,-3.76241442871438
474000,-3.72426080995056
475000,-3.67646947577269
476000,-3.66346912691198
477000,-3.76061649347867
478000,-3.72839300517398
479000,-3.69394499247967
480000,-3.70094775709301
481000,-3.72319714871087
482000,-3.68176948401956
483000,-3.72859379646168
484000,-3.69395175562392
485000,-3.72295266795857
486000,-3.77442148377976
487000,-3.74811627740247
488000,-3.71455984283978
489000,-3.68199930652757
490000,-3.73492023912368
491000,-3.73777418640021
492000,-3.68966038654005
493000,-3.65960179808228
494000,-3.74448837629473
495000,-3.74264562890087
496000,-3.69067619855327
497000,-3.72737843492746
498000,-3.68896045679647
499000,-3.77067299027241
500000,-3.76388432886309
